name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Geladaria Freddo,Corroios,3.6,27,8 € for two people (approx.),Cash and Cards accepted,8
Restaurante Baía,Cascais Centro,3.8,24,50 € for two people (approx.),Debit Cards accepted,50
Menos Um,Venteira,2.9,66,20 € for two people (approx.),Debit Cards accepted,20
Real Cake,Loures Centro,2.8,61,15 € for two people (approx.),Debit Cards accepted,15
Bolos Caseiros,Penha de França,3.5,7,15 € for two people (approx.),Cash only,15
Taberna Albricoque,Santa Apolónia,4.0,53,40 € for two people (approx.),Cash and Cards accepted,40
Snack-Bar Zodíaco,Santa Iria da Azóia,-,2,8 € for two people (approx.),Cash only,8
Mel e Malagueta,Parque das Nações,3.4,22,15 € for two people (approx.),Cash and Cards accepted,15
Ó Conde,Lumiar,3.9,82,40 € for two people (approx.),Cash and Cards accepted,40
Pastelaria Plaza,Odivelas Centro,3.2,5,12 € for two people (approx.),Debit Cards accepted,12
Os Rebelos,Bobadela,-,2,8 € for two people (approx.),Cash only,8
Tasca do Careca,Saldanha,2.8,124,25 € for two people (approx.),Cash and Cards accepted,25
Miami,Setubal Centro,3.8,17,30 € for two people (approx.),Cash only,30
Centenarivm,Rato,4.1,68,25 € for two people (approx.),Cash and Debit Cards accepted,25
Atelier du Caffé,Pinhal Novo,3.8,19,10 € for two people (approx.),Cash only,10
Anjo Doce,Anjos,3.4,2,20 € for two people (approx.),Cash only,20
Tasquinha dos Ramos,Feijó,4.1,134,30 € for two people (approx.),Cash and Credit Cards accepted,30
Cantina do Mercado,Entrecampos,3.3,3,20 € for two people (approx.),Cash only,20
New Moment,São Bento,3.7,17,8 € for two people (approx.),Cash and Cards accepted,8
Gelatommy,Bairro Alto,3.5,15,6 € for two people (approx.),Cash only,6
Fábrica Musa,Marvila,4.2,231,15 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,15
O Saboroso,Marquês de Pombal,3.4,13,30 € for two people (approx.),Cash only,30
Ambrosius,Barreiro Centro,4.1,177,20 € for two people (approx.),Cash only,20
Mwana Pwo,Parque das Nações,4.1,92,30 € for two people (approx.),Cash and Cards accepted,30
Quick Asia,Marquês de Pombal,4.2,161,25 € for two people (approx.),Cash and Cards accepted,25
Meio Pizza Meio Grill,Parque das Nações,2.6,131,20 € for two people (approx.),Cash and Cards accepted,20
Cantinho do Cozinheiro,Mem Martins,3.5,11,20 € for two people (approx.),Cash and Debit Cards accepted,20
Hikidashi - Taberna Japonesa,Campo de Ourique,4.7,713,80 € for two people (approx.),Cash and Debit Cards accepted,80
Windsurf,Linda-a-Velha,-,1,5 € for two people (approx.),Cash only,5
Mesa de Frades,Alfama,4.0,63,120 € for two people (approx.),Cash only,120
Arabian Nights Shisha Bar,Cascais Centro,3.5,13,20 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,20
Ali Baba Kebab Haus,Algés,-,3,12 € for two people (approx.),Cash only,12
Dois e Dois,Alcântara,3.7,32,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Rei dos Frangos dos Olivais Sul,Olivais,3.6,13,15 € for two people (approx.),Cash and Debit Cards accepted,15
Cantinho de São Marcos,São Marcos,3.4,7,16 € for two people (approx.),Cash and Debit Cards accepted,16
Areias da Telha,Costa da Caparica,2.7,31,25 € for two people (approx.) with alcohol,Cards only,25
O Braseiro,Barreiro Centro,3.9,73,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Aduaneiro,Beato,3.0,0,8 € for two people (approx.),Cash only,8
Café Negrito,Alcabideche,3.1,3,5 € for two people (approx.),Cash only,5
O Peralta,Cacilhas,2.0,76,35 € for two people (approx.),Cash and Cards accepted,35
A Lota,Rossio,2.7,13,25 € for two people (approx.),Cash and Cards accepted,25
Maianga,Beato,3.2,2,8 € for two people (approx.),Cash only,8
Preguinho da Villa,Cascais Centro,-,3,20 € for two people (approx.),Cash and Credit Cards accepted,20
Cookies Bakery,São Domingos de Benfica,4.3,112,6 € for two people (approx.),Cash and Cards accepted,6
Bom Dia,Damaia,-,0,8 € for two people (approx.),Cash only,8
Honorato Sushi,Restelo,3.9,527,40 € for two people (approx.),Cash and Cards accepted,40
Minabela,Mina,-,0,8 € for two people (approx.),Cash only,8
Sé da Guarda,Algés,4.1,106,30 € for two people (approx.),Cash only,30
Inasal Filipinas,Santa Apolónia,-,1,20 € for two people (approx.),Cash only,20
Atelier do Café,Cacém,3.2,3,8 € for two people (approx.),Cash and Debit Cards accepted,8
Tazza in Giro,Graça,3.7,18,25 € for two people (approx.),Cash and Cards accepted,25
Arca de Mel,Paço de Arcos,-,1,10 € for two people (approx.),Cash only,10
Côco Verde,Damaia,3.6,14,8 € for two people (approx.),Cash only,8
Britus Café,Ajuda,3.5,6,8 € for two people (approx.),Cash and Debit Cards accepted,8
Templários,São Domingos de Benfica,2.5,51,20 € for two people (approx.),Cash and Cards accepted,20
O Furão,Restelo,3.6,24,30 € for two people (approx.),Cash and Cards accepted,30
Tentação,Restelo,3.3,5,10 € for two people (approx.),Cash only,10
O Moinho Verde,Colares,3.1,0,6 € for two people (approx.),Cash and Debit Cards accepted,6
O Forno da Calçada,Campo Grande,2.6,15,25 € for two people (approx.),Cash and Cards accepted,25
Meco Bistrô,Aldeia do Meco,-,2,20 € for two people (approx.),Cash and Cards accepted,20
Os Sagrados,Malveira,3.5,9,20 € for two people (approx.),Cash only,20
Dom Churrasco,Telheiras,3.8,38,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Caprichosa,Pena,3.1,4,8 € for two people (approx.),Cash only,8
Churrasqueira Pronto a comer Margarete,Quinta do Anjo,3.4,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
O Mercado do Peixe,Ajuda,4.0,107,50 € for two people (approx.),Cash and Cards accepted,50
Kikusushi,Baixa,3.8,324,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Tachadas,Brandoa,3.4,12,20 € for two people (approx.),Cash only,20
Scala II,Benfica,3.5,11,15 € for two people (approx.),Cash and Debit Cards accepted,15
João do Grão,Baixa,3.6,78,35 € for two people (approx.),Cash and Cards accepted,35
Rotunda da Atalaia,Atalaia,-,1,25 € for two people (approx.),Cash only,25
Bom Churrasco,Massamá,3.4,6,15 € for two people (approx.),Cash and Debit Cards accepted,15
Eric Kayser - Amoreiras Plaza,Amoreiras,4.1,362,15 € for two people (approx.),Cash and Cards accepted,15
Hebe Gyros,Brandoa,3.6,44,12 € for two people (approx.),Cash and Debit Cards accepted,12
Oliveira's,Praça de Espanha,4.1,156,35 € for two people (approx.),Cards only,35
Marisqueira O David,Alcântara,3.7,33,35 € for two people (approx.),Cash and Cards accepted,35
Bollywood Lounge,Marquês de Pombal,4.1,109,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
Praia Caffé,Oeiras e São Julião da Barra,3.9,97,50 € for two people (approx.),Cash and Cards accepted,50
Starbucks,Chiado,4.2,498,12 € for two people (approx.),Cash and Cards accepted,12
O Colon,Barreiro Centro,-,3,16 € for two people (approx.),Cash and Debit Cards accepted,16
h3 Parque das Nações,Parque das Nações,4.0,225,20 € for two people (approx.),Cash and Cards accepted,20
Le Petit Prince,Príncipe Real,4.0,39,8 € for two people (approx.),Cash only,8
Creperie,Arroios,-,0,10 € for two people (approx.),Cash only,10
Restaurante O Lavrador,Sintra Centro,3.9,66,36 € for two people (approx.),Cash and Debit Cards accepted,36
Pastelaria Batalha,Venda do Pinheiro,3.8,25,8 € for two people (approx.),Cash and Cards accepted,8
Luxembourg,Ericeira,4.0,78,15 € for two people (approx.),Cash and Debit Cards accepted,15
O Girassol,Cacém,3.7,20,20 € for two people (approx.),Cash and Cards accepted,20
AMAR Associação dos Moradores da Aroeira,Charneca de Caparica,-,0,20 € for two people (approx.),Cash only,20
Café Jamor,Queluz,3.1,4,15 € for two people (approx.),Cash and Debit Cards accepted,15
Arte Café,Entrecampos,3.1,0,10 € for two people (approx.),Cash only,10
Dinastia Selvagem,Belém,-,3,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Barbeiro,Alcântara,3.1,8,20 € for two people (approx.),Cash only,20
Crisfia 2,Campolide,3.0,10,20 € for two people (approx.),Cash only,20
Café O Amândio,Camarate,-,1,6 € for two people (approx.),Cash only,6
Rés do Chão,Santa Apolónia,3.8,62,25 € for two people (approx.),Debit Cards accepted,25
The Garage - Smokehouse & BBQ,Alcântara,4.1,62,25 € for two people (approx.),Cash and Debit Cards accepted,25
Báltico,Queluz,2.9,6,6 € for two people (approx.),"Cash, Debit Cards and Meal Coupons accepted",6
A Travessa do Rio,Benfica,4.0,98,40 € for two people (approx.),Cash and Cards accepted,40
Meste Zé,Guincho,4.0,101,70 € for two people (approx.),Cash and Cards accepted,70
Pastelaria Luciana,Saldanha,3.1,0,12 € for two people (approx.),Cash only,12
Jardim Sol - Pronto a Comer,Cacém,3.4,6,15 € for two people (approx.),Cash and Debit Cards accepted,15
Pérola de Alfragide,Buraca,3.4,4,10 € for two people (approx.),Cash only,10
Aníbal,Alfragide,3.5,12,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Grelha,Linda-a-Velha,3.8,45,30 € for two people (approx.),Cash and Cards accepted,30
Skipper,Odivelas Centro,3.2,7,20 € for two people (approx.),Cash only,20
Noobai,Bica,4.2,"1,086",34 € for two people (approx.),Cash and Cards accepted,34
Clube Parque dos Príncipes,Telheiras,2.9,7,8 € for two people (approx.),Cash only,8
São Miguel - Grandes Cantorias,Alfama,3.1,5,40 € for two people (approx.),Cash and Cards accepted,40
Carminho’s Take-Away,Azeitão,-,1,15 € for two people (approx.),Cash only,15
Ponto de Encontro,Estoril,2.9,1,6 € for two people (approx.),Cash only,6
Danúbio Azul,Mina,-,1,8 € for two people (approx.),Cash and Cards accepted,8
Cappuccino Café,Torres Vedras Centro,-,2,10 € for two people (approx.),Cash only,10
Os Piodenses,Benfica,3.7,19,15 € for two people (approx.),Cash and Debit Cards accepted,15
Golfn'Table,Barcarena,3.4,7,30 € for two people (approx.),Cash and Debit Cards accepted,30
Cozinha com Alma: Take-away Social,Cascais Centro,3.8,23,20 € for two people (approx.),Cash and Debit Cards accepted,20
A Lota,Sesimbra Centro,3.4,22,35 € for two people (approx.),Cash and Debit Cards accepted,35
Café Fornalha,Mem Martins,3.1,0,8 € for two people (approx.),Cash only,8
McDonald's,Saldanha,2.8,213,12 € for two people (approx.),Cash and Cards accepted,12
Patrono,Alfama,2.8,11,25 € for two people (approx.),Cash and Cards accepted,25
Bikes and Beer,Feijó,3.5,8,10 € for two people (approx.) with alcohol,Cash only,10
Pintarola,Sesimbra Centro,3.8,29,25 € for two people (approx.),Cash and Debit Cards accepted,25
First Café,Olivais,-,0,12 € for two people (approx.),Cash and Cards accepted,12
O Combatente,Queluz,3.3,3,20 € for two people (approx.),Cash only,20
Bruta Flor,Mouraria,3.8,33,15 € for two people (approx.),Cash and Debit Cards accepted,15
Pérola de Ouressa,Mem Martins,3.0,3,6 € for two people (approx.),Cash only,6
Quinto Império,Apelação,3.4,5,30 € for two people (approx.),Cash only,30
Burguer Time,Amora,4.0,125,15 € for two people (approx.),Cash and Cards accepted,15
Gordinni Steak & Fish House,Cascais Centro,2.9,38,50 € for two people (approx.),Cash and Cards accepted,50
Popicas Pastelaria,Lumiar,2.8,9,8 € for two people (approx.),Cash only,8
Coral - A Sushi Concept,Cascais Centro,4.1,77,50 € for two people (approx.),Cash and Cards accepted,50
Aquarius,Damaia,3.6,17,15 € for two people (approx.),Cash and Debit Cards accepted,15
100 Gramas,Oeiras e São Julião da Barra,3.8,34,25 € for two people (approx.),Cash and Debit Cards accepted,25
Portas Verdes,Carnide,3.9,237,35 € for two people (approx.),Cash and Cards accepted,35
Real Kebab e Pizza's,Loures Centro,-,1,12 € for two people (approx.),Cash and Debit Cards accepted,12
Café Cervejaria,São Brás,-,0,6 € for two people (approx.),Cash only,6
Pão do Bairro,Torres Vedras Centro,-,2,10 € for two people (approx.),Cash only,10
Café Lilimar,Coina,-,0,8 € for two people (approx.),Cash only,8
Mercearia Vencedora,Cascais Centro,3.9,284,45 € for two people (approx.),Cash and Cards accepted,45
Beiral,Reboleira,3.4,8,12 € for two people (approx.),Cash and Cards accepted,12
O Zé da Mouraria 2,Pena,4.6,611,40 € for two people (approx.),Cash only,40
O Raposo,Arroios,4.0,91,30 € for two people (approx.),Cash and Cards accepted,30
Risotto,Rio de Mouro,4.1,131,16 € for two people (approx.),Cash and Debit Cards accepted,16
O Cortiço,Odivelas Centro,3.2,11,8 € for two people (approx.),Cash only,8
Solar dos Frangos,Estoril,3.8,22,15 € for two people (approx.),Cash and Debit Cards accepted,15
Caseiro Arneiro,Carcavelos,4.2,343,40 € for two people (approx.),Cash and Cards accepted,40
Pastelaria Dourado,Campo Grande,3.7,35,6 € for two people (approx.),Cash and Debit Cards accepted,6
Bar da Cossoul,São Bento,3.4,8,15 € for two people (approx.) with alcohol,Cash only,15
Cafetaria Super 24,Santa Cruz,-,2,10 € for two people (approx.),Cash and Cards accepted,10
Sabores da Savana,Almada Centro,-,0,14 € for two people (approx.),Cash and Debit Cards accepted,14
O Padeirinho,Apelação,-,0,6 € for two people (approx.),Cash only,6
Flor da Rinchoa - Hibiscus,Rio de Mouro,-,1,10 € for two people (approx.),Cash only,10
B2B - Pastelaria,Alverca do Ribatejo,-,0,6 € for two people (approx.),Cash only,6
Churrasqueira da Bobadela,Bobadela,-,2,15 € for two people (approx.),Cash only,15
Cova Funda,Cacilhas,3.9,58,30 € for two people (approx.),Cash and Cards accepted,30
Mensa,Oeiras e São Julião da Barra,4.1,192,40 € for two people (approx.),Cash only,40
Pastanaga,Santos,3.8,12,30 € for two people (approx.),Cash only,30
Sociedade Recreativa Musical Almoçageme,Colares,3.0,1,6 € for two people (approx.),Cash only,6
O Miradouro,Famões,-,0,20 € for two people (approx.),Cash and Debit Cards accepted,20
Boteco da Fá,Alfama,3.8,38,30 € for two people (approx.),Cash and Cards accepted,30
Torrãozinho,Porto Salvo,3.3,5,6 € for two people (approx.),Cash only,6
La Pausa Self Service,Olivais,-,3,15 € for two people (approx.),Cash and Cards accepted,15
O Trevo,Chiado,4.0,139,15 € for two people (approx.),Cash only,15
Restaurante Monteiro-Mor - Museu do Traje,Lumiar,3.7,18,40 € for two people (approx.),Cash and Cards accepted,40
Buzi,Marvila,3.1,2,8 € for two people (approx.),Cash only,8
Chafariz,Olivais,3.6,14,6 € for two people (approx.),Cash only,6
Mini Bar,São João do Estoril,3.1,1,5 € for two people (approx.) with alcohol,Cash only,5
Pastelaria Helma,Amora,-,1,10 € for two people (approx.),Cash only,10
Dom Café - Amadora,Damaia,-,3,6 € for two people (approx.),Cash and Debit Cards accepted,6
Casa dos Frangos,Sintra Centro,2.7,12,30 € for two people (approx.),Cash only,30
Caracol do bairro,Lumiar,3.7,13,8 € for two people (approx.),Cash and Cards accepted,8
Casa Transmontana,Barreiro Centro,3.3,8,25 € for two people (approx.),Cash and Cards accepted,25
Homeru's,Fernão Ferro,3.4,14,30 € for two people (approx.),Cash and Debit Cards accepted,30
Formiga Gulosa,Arroios,-,2,12 € for two people (approx.),Cash and Debit Cards accepted,12
Delícia de Alcântara,Alcântara,3.5,10,10 € for two people (approx.),Cash and Debit Cards accepted,10
Forno de Telheiras,Telheiras,3.5,12,8 € for two people (approx.),Cash and Debit Cards accepted,8
Café Paris,Silveira,-,0,8 € for two people (approx.),Cash only,8
Pizza 27,Carcavelos,4.1,133,22 € for two people (approx.),Cash and Cards accepted,22
Alcobacense,Penha de França,3.0,1,6 € for two people (approx.),Cash only,6
Original Coffee,Venteira,-,0,6 € for two people (approx.),Cash only,6
Snack Bar São Lázaro,Pena,3.5,14,8 € for two people (approx.),Cash and Cards accepted,8
Escudeiro,Venteira,-,3,30 € for two people (approx.),Cash and Cards accepted,30
Boca do Forno,Torres Vedras Centro,-,3,12 € for two people (approx.),Cash and Debit Cards accepted,12
Paladar Minhoto,Rio de Mouro,-,2,18 € for two people (approx.),Cash only,18
Cosmopolis Pastelaria,Amora,3.7,31,6 € for two people (approx.),Cash and Cards accepted,6
Maraçaí,Alfornelos,3.6,8,12 € for two people (approx.),Cash only,12
O Sem Nome,Restelo,3.9,72,25 € for two people (approx.),Cash and Cards accepted,25
Os Latinos,Venda Nova,-,1,15 € for two people (approx.),Cash only,15
O António,Bobadela,3.9,41,25 € for two people (approx.),Cash and Debit Cards accepted,25
Café Taberna Do Sousa,Seixal Centro,3.0,5,15 € for two people (approx.),Cash only,15
Os Periquitos,Loures Centro,2.6,54,25 € for two people (approx.),Cash only,25
Rekantos I,Corroios,-,1,20 € for two people (approx.),Cash and Debit Cards accepted,20
Esperança,Bairro Alto,4.1,186,40 € for two people (approx.),Cash and Debit Cards accepted,40
Bellabica,Algés,-,0,6 € for two people (approx.),Cash only,6
Pastelaria Infante,Carnaxide,-,1,12 € for two people (approx.),Cash only,12
Segredos Da Terra,Quinta do Conde,3.6,17,8 € for two people (approx.),Cash and Cards accepted,8
Sushi Trendy,Loures Centro,3.8,53,40 € for two people (approx.),Cash and Debit Cards accepted,40
Herculano,Avenida da Liberdade,3.7,31,20 € for two people (approx.),Cash and Debit Cards accepted,20
Kafofo Grill,Torres Vedras Centro,3.5,10,16 € for two people (approx.),Cash and Cards accepted,16
Padaria da Esquina - Algueirão,Mem Martins,3.5,10,7 € for two people (approx.),Cash and Cards accepted,7
Sidi Baba,Pena,-,0,8 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,8
Wine & Pisco,Rossio,3.6,21,25 € for two people (approx.),Cash only,25
Restaurante Mar do Guincho,Guincho,3.9,34,40 € for two people (approx.),Cards only,40
Boccalino,Ericeira,4.0,57,28 € for two people (approx.),Cash only,28
Sabores d'Outono,Lumiar,3.7,30,15 € for two people (approx.),Cash and Debit Cards accepted,15
Pastelaria Tórrita,Mem Martins,3.6,15,6 € for two people (approx.),Cash and Debit Cards accepted,6
Sete Castelos,Oeiras e São Julião da Barra,3.8,85,35 € for two people (approx.),Cards only,35
Croissanteria a Paragem,Sacavém,-,0,10 € for two people (approx.),Cash only,10
O Alcochetano,Alcochete Centro,4.0,115,30 € for two people (approx.),Cash and Cards accepted,30
Oriental,São João do Estoril,3.5,4,20 € for two people (approx.),Cash only,20
Che Boludo Cozinha Argentina,Praça de Espanha,3.1,4,25 € for two people (approx.),Cash only,25
Oceano - Gelados E Crepes,Colares,3.5,7,10 € for two people (approx.),Cash and Debit Cards accepted,10
Pizzaria Horta,Mafra Centro,3.5,119,25 € for two people (approx.),Cash and Cards accepted,25
Nova Ásia,Alvalade,4.1,134,40 € for two people (approx.),Cash and Cards accepted,40
Pastelaria Manon,Campo Pequeno,3.2,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
Snack Bar Silvério,Marvila,-,3,6 € for two people (approx.),Cash only,6
Garden Terrace,Turcifal,3.3,5,55 € for two people (approx.),Cash and Cards accepted,55
Estrela do Zambujal,São Domingos de Rana,3.2,4,20 € for two people (approx.),Cash only,20
Mafra Pão,Restelo,3.2,24,10 € for two people (approx.),Cash and Debit Cards accepted,10
O Meu Sonho,Sacavém,-,2,15 € for two people (approx.),Cash only,15
Sabores da Carne,Birre,3.9,43,24 € for two people (approx.),Cash only,24
Farma&Cia Bar,Almada Centro,3.6,13,10 € for two people (approx.) with alcohol,Cash only,10
Cheers,Bairro Alto,3.3,16,12 € for two people (approx.) with alcohol,Debit Cards accepted,12
Farol de Oeiras,Oeiras e São Julião da Barra,3.9,112,30 € for two people (approx.),Cash and Debit Cards accepted,30
Xiripiti Taberna,Cascais Centro,3.8,66,25 € for two people (approx.),Cash and Debit Cards accepted,25
Lisbon Wine House,Rossio,-,2,30 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,30
Café Vitória,Porto Salvo,-,1,8 € for two people (approx.),Cash only,8
Varanda Vale Formoso,Marvila,4.3,364,40 € for two people (approx.),Cash and Debit Cards accepted,40
Pierrot Restaurante,Cacém,3.5,17,25 € for two people (approx.),Cash and Debit Cards accepted,25
Taberna de Azeitão,Azeitão,3.4,12,20 € for two people (approx.),Cash and Cards accepted,20
Flagrante Delitro,Campo de Ourique,3.9,74,25 € for two people (approx.),Cash and Cards accepted,25
O Pãozinho das Marias II,Ericeira,3.9,85,6 € for two people (approx.),Cash only,6
Delícias & Desejos,Moscavide,3.8,51,8 € for two people (approx.),Cash only,8
Swaagat,Baixa,-,2,25 € for two people (approx.),Cash and Cards accepted,25
Favorita II,Odivelas Centro,3.7,22,6 € for two people (approx.),Cash only,6
A Parreirinha de Carnide,Carnide,3.9,103,20 € for two people (approx.),Cash and Cards accepted,20
Frango à Solta,Camarate,3.3,4,12 € for two people (approx.),Cash and Debit Cards accepted,12
Savana,Buraca,3.6,17,10 € for two people (approx.),Cash and Debit Cards accepted,10
Café Rouge,Barreiro Centro,-,0,8 € for two people (approx.),Cash only,8
Cervejaria D'El Negro,Reboleira,3.8,17,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Casa do Luís,Colares,3.5,7,45 € for two people (approx.),Cash and Cards accepted,45
Taco Locoo,Marquês de Pombal,3.9,47,35 € for two people (approx.),Cash and Cards accepted,35
Doce Mel,Odivelas Centro,-,3,10 € for two people (approx.),Debit Cards accepted,10
Maria.Come,Barreiro Centro,3.7,25,17 € for two people (approx.),Cash and Debit Cards accepted,17
Galifrango,Arroios,3.5,8,11 € for two people (approx.),Cash only,11
A Fama dos Búzios,Lumiar,3.3,4,8 € for two people (approx.),Cash only,8
Pastelaria Dom Café,Oeiras e São Julião da Barra,-,3,13 € for two people (approx.),Cash only,13
Red & Black Café,Odivelas Centro,3.3,4,12 € for two people (approx.),Cash only,12
Estrela de Queluz,Queluz,3.3,7,6 € for two people (approx.),Cash and Debit Cards accepted,6
Churrasqueira As Palmeiras,Linda-a-Velha,3.9,96,20 € for two people (approx.),Cash and Debit Cards accepted,20
Taberna 31,Corroios,-,1,25 € for two people (approx.),Cash only,25
Os Molas Partidas,Algés,-,1,10 € for two people (approx.),Debit Cards accepted,10
Nova Alfama,Alfama,3.2,4,25 € for two people (approx.),Cash only,25
O Barrete Verde,Alcochete Centro,4.1,123,30 € for two people (approx.),Cash and Debit Cards accepted,30
Aquidabã,Benfica,3.2,3,8 € for two people (approx.),Cash only,8
Correio Azul,Baixa,3.6,9,15 € for two people (approx.),Debit Cards accepted,15
Casa de peixe,Pinhal Novo,3.6,16,25 € for two people (approx.),Cash only,25
Wave Garden,Carcavelos,3.4,6,16 € for two people (approx.),Cash and Debit Cards accepted,16
Cantinho da Margarida,Barreiro Centro,-,1,20 € for two people (approx.),Cash only,20
Espaço Junqueira,Alcântara,3.4,21,25 € for two people (approx.),Cash and Debit Cards accepted,25
Nanu,Olivais,2.9,5,6 € for two people (approx.),Cash only,6
Pastelaria São Jorge,Arroios,3.3,7,15 € for two people (approx.),Cash only,15
Corner Quiosque,Marquês de Pombal,3.8,19,22 € for two people (approx.),Cash and Cards accepted,22
Pastelaria Dó-Lá-Si,Lumiar,3.3,7,6 € for two people (approx.),Cash only,6
Clarion Suites Cafetaria & Bar - Clarion Suites,Rato,3.3,1,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
O Cafézinho,Parede,3.0,2,10 € for two people (approx.),Cash only,10
Tasca do Esteves,Alcântara,3.6,38,25 € for two people (approx.),Cash only,25
Rodrigues Perez & Ca,Campo Pequeno,3.3,6,5 € for two people (approx.),Cash only,5
Bifanas de Vendas Novas - Casa Original,Benfica,3.8,38,12 € for two people (approx.),Cash and Debit Cards accepted,12
Up to Sushi - Picoas,Saldanha,4.0,812,40 € for two people (approx.),Cash and Cards accepted,40
As Fracas,Telheiras,2.9,4,6 € for two people (approx.),Cash only,6
Piri-Piri,Caparica,3.7,35,20 € for two people (approx.),Cash and Cards accepted,20
Central dos Leitões,Charneca de Caparica,4.0,61,30 € for two people (approx.),Cash only,30
Flor do Zambujal,Buraca,-,0,8 € for two people (approx.),Cash only,8
Brasiliamérica,Alvalade,3.6,11,6 € for two people (approx.),Cash only,6
The Tower,Areeiro,3.4,8,6 € for two people (approx.),Cash only,6
A Carula,Paço de Arcos,3.9,81,35 € for two people (approx.),Cards only,35
Um Bom Café,Massamá,-,0,20 € for two people (approx.),Cash only,20
Camarro Lounge,Barreiro Centro,3.9,61,12 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,12
Suave,Bairro Alto,3.7,24,15 € for two people (approx.) with alcohol,Cash and Cards accepted,15
K-BOB - Restaurante Coreano,Praça de Espanha,3.9,57,30 € for two people (approx.),Cash and Debit Cards accepted,30
Supremacia - Sushi,Benfica,3.9,67,35 € for two people (approx.),Cash and Debit Cards accepted,35
Basílio's,Torres Vedras Centro,3.8,39,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Burguês,Amora,3.7,33,20 € for two people (approx.),Cash and Debit Cards accepted,20
Conserveira de Cacilhas,Cacilhas,3.5,26,20 € for two people (approx.),Cash and Cards accepted,20
Espet D'Ouro,Torre da Marinha,3.6,10,20 € for two people (approx.),Cash and Debit Cards accepted,20
São Sebastião Lounge - Turim Europa Hotel,Marquês de Pombal,-,0,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Bebedouro,Baixa,3.8,21,45 € for two people (approx.),Cash and Cards accepted,45
Café Tó Zé,São João,3.2,1,6 € for two people (approx.),Cash only,6
A Grelha do Manel,Alvalade,3.3,86,15 € for two people (approx.),Cash and Cards accepted,15
Tamusyo Bhansa Ghar,Arroios,3.3,7,20 € for two people (approx.),Cash and Debit Cards accepted,20
Café Central da Milharada,Loures Centro,-,0,15 € for two people (approx.),Cash only,15
XL,Lapa-Estrela,4.4,434,65 € for two people (approx.),Cash and Cards accepted,65
Godiva,Chiado,3.5,6,12 € for two people (approx.),Cash and Cards accepted,12
Bar Piccadilly Circus,Estoril,2.9,17,15 € for two people (approx.) with alcohol,Cash only,15
Papamassa,São João do Estoril,3.9,125,30 € for two people (approx.),Cash and Cards accepted,30
Túnel de Santos,Santos,2.4,204,25 € for two people (approx.),Cash and Cards accepted,25
Il Redella Pizzaria,Campo Pequeno,-,2,25 € for two people (approx.),Cash and Cards accepted,25
Cantinho da Avenida,Cacém,3.3,3,8 € for two people (approx.),Cash only,8
Há Petisco,São Domingos de Benfica,3.1,1,8 € for two people (approx.),Cash and Debit Cards accepted,8
Himchuli,Alcântara,4.2,413,35 € for two people (approx.),Cash and Cards accepted,35
Leão d'Ouro,Barreiro Centro,2.8,22,40 € for two people (approx.),Cash and Debit Cards accepted,40
Mátria,Odivelas Centro,3.5,12,6 € for two people (approx.),Cash only,6
Pinguim,Olivais,3.1,4,6 € for two people (approx.),Cash only,6
Avanti Pizza & Crepes,São Domingos de Benfica,3.9,50,30 € for two people (approx.),Cash and Debit Cards accepted,30
Restaurante Terrace - Hotel Arribas,Colares,3.9,63,35 € for two people (approx.),Cash and Cards accepted,35
Saloon Rinchoa,Rio de Mouro,3.7,19,20 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,20
Café Ferreira,São João da Talha,-,0,8 € for two people (approx.),Cash only,8
Casa Portuguesa,Ericeira,4.0,190,35 € for two people (approx.),Cash only,35
Os Amigos de Campolide,Campolide,3.0,2,15 € for two people (approx.),Cash only,15
Quinta do Arneiro,Azueira-Sobral da Abelheira,4.4,35,50 € for two people (approx.),Cash and Debit Cards accepted,50
Merkado,Venda do Pinheiro,3.9,53,37 € for two people (approx.),Cash and Debit Cards accepted,37
Cervejaria Vadia,Colares,3.1,22,30 € for two people (approx.),Cash only,30
Os Minhotos,Alfama,2.9,11,25 € for two people (approx.),Cash only,25
Espaço do Marquês,Marquês de Pombal,3.5,25,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Balança,Linda-a-Velha,-,3,15 € for two people (approx.),Cash only,15
