name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Geladaria Freddo,Corroios,3.6,27,8 € for two people (approx.),8,Cash and Cards accepted,type1,Ice-cream Shop
Restaurante Baía,Cascais Centro,3.8,24,50 € for two people (approx.),50,Debit Cards accepted,type1,Fine Dining
Menos Um,Venteira,2.9,66,20 € for two people (approx.),20,Debit Cards accepted,type1,Casual Dining
Real Cake,Loures Centro,2.8,61,15 € for two people (approx.),15,Debit Cards accepted,type1,Snack Bar
Bolos Caseiros,Penha de França,3.5,7,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Taberna Albricoque,Santa Apolónia,4.0,53,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Snack-Bar Zodíaco,Santa Iria da Azóia,-,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Mel e Malagueta,Parque das Nações,3.4,22,15 € for two people (approx.),15,Cash and Cards accepted,type1,Quick Bites
Ó Conde,Lumiar,3.9,82,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Pastelaria Plaza,Odivelas Centro,3.2,5,12 € for two people (approx.),12,Debit Cards accepted,type1,Pastry Shop
Os Rebelos,Bobadela,-,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Tasca do Careca,Saldanha,2.8,124,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Miami,Setubal Centro,3.8,17,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Centenarivm,Rato,4.1,68,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Atelier du Caffé,Pinhal Novo,3.8,19,10 € for two people (approx.),10,Cash only,type1,Café
Anjo Doce,Anjos,3.4,2,20 € for two people (approx.),20,Cash only,type1,Quick Bites
Tasquinha dos Ramos,Feijó,4.1,134,30 € for two people (approx.),30,Cash and Credit Cards accepted,type1,Casual Dining
Cantina do Mercado,Entrecampos,3.3,3,20 € for two people (approx.),20,Cash only,type1,Casual Dining
New Moment,São Bento,3.7,17,8 € for two people (approx.),8,Cash and Cards accepted,type1,Dessert Parlor
Gelatommy,Bairro Alto,3.5,15,6 € for two people (approx.),6,Cash only,type1,Ice-cream Shop
Fábrica Musa,Marvila,4.2,231,15 € for two people (approx.) with alcohol,15,Cash and Debit Cards accepted,type1,Bar
O Saboroso,Marquês de Pombal,3.4,13,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Ambrosius,Barreiro Centro,4.1,177,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Mwana Pwo,Parque das Nações,4.1,92,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Quick Asia,Marquês de Pombal,4.2,161,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Meio Pizza Meio Grill,Parque das Nações,2.6,131,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Cantinho do Cozinheiro,Mem Martins,3.5,11,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Hikidashi - Taberna Japonesa,Campo de Ourique,4.7,713,80 € for two people (approx.),80,Cash and Debit Cards accepted,type1,Casual Dining
Windsurf,Linda-a-Velha,-,1,5 € for two people (approx.),5,Cash only,type1,Snack Bar
Mesa de Frades,Alfama,4.0,63,120 € for two people (approx.),120,Cash only,type1,Fine Dining
Arabian Nights Shisha Bar,Cascais Centro,3.5,13,20 € for two people (approx.) with alcohol,20,Cash and Debit Cards accepted,type1,Bar
Ali Baba Kebab Haus,Algés,-,3,12 € for two people (approx.),12,Cash only,type1,Food Court
Dois e Dois,Alcântara,3.7,32,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
O Rei dos Frangos dos Olivais Sul,Olivais,3.6,13,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,
Cantinho de São Marcos,São Marcos,3.4,7,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Casual Dining
Areias da Telha,Costa da Caparica,2.7,31,25 € for two people (approx.) with alcohol,25,Cards only,type1,Bar
O Braseiro,Barreiro Centro,3.9,73,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
O Aduaneiro,Beato,3.0,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Café Negrito,Alcabideche,3.1,3,5 € for two people (approx.),5,Cash only,type1,Snack Bar
O Peralta,Cacilhas,2.0,76,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
A Lota,Rossio,2.7,13,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Maianga,Beato,3.2,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Preguinho da Villa,Cascais Centro,-,3,20 € for two people (approx.),20,Cash and Credit Cards accepted,type1,Casual Dining
Cookies Bakery,São Domingos de Benfica,4.3,112,6 € for two people (approx.),6,Cash and Cards accepted,type1,
Bom Dia,Damaia,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Honorato Sushi,Restelo,3.9,527,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Minabela,Mina,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Sé da Guarda,Algés,4.1,106,30 € for two people (approx.),30,Cash only,type1,Snack Bar
Inasal Filipinas,Santa Apolónia,-,1,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Atelier do Café,Cacém,3.2,3,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Snack Bar
Tazza in Giro,Graça,3.7,18,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Arca de Mel,Paço de Arcos,-,1,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Côco Verde,Damaia,3.6,14,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Britus Café,Ajuda,3.5,6,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Snack Bar
Templários,São Domingos de Benfica,2.5,51,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
O Furão,Restelo,3.6,24,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Tentação,Restelo,3.3,5,10 € for two people (approx.),10,Cash only,type1,Snack Bar
O Moinho Verde,Colares,3.1,0,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Snack Bar
O Forno da Calçada,Campo Grande,2.6,15,25 € for two people (approx.),25,Cash and Cards accepted,type1,Pastry Shop
Meco Bistrô,Aldeia do Meco,-,2,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Os Sagrados,Malveira,3.5,9,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Dom Churrasco,Telheiras,3.8,38,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,
A Caprichosa,Pena,3.1,4,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Churrasqueira Pronto a comer Margarete,Quinta do Anjo,3.4,7,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,
O Mercado do Peixe,Ajuda,4.0,107,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Kikusushi,Baixa,3.8,324,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
O Tachadas,Brandoa,3.4,12,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Scala II,Benfica,3.5,11,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Pastry Shop
João do Grão,Baixa,3.6,78,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Rotunda da Atalaia,Atalaia,-,1,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Bom Churrasco,Massamá,3.4,6,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,
Eric Kayser - Amoreiras Plaza,Amoreiras,4.1,362,15 € for two people (approx.),15,Cash and Cards accepted,type1,Bakery
Hebe Gyros,Brandoa,3.6,44,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Food Court
Oliveira's,Praça de Espanha,4.1,156,35 € for two people (approx.),35,Cards only,type1,Casual Dining
Marisqueira O David,Alcântara,3.7,33,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Bollywood Lounge,Marquês de Pombal,4.1,109,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,type1,Lounge
Praia Caffé,Oeiras e São Julião da Barra,3.9,97,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Starbucks,Chiado,4.2,498,12 € for two people (approx.),12,Cash and Cards accepted,type1,Café
O Colon,Barreiro Centro,-,3,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Casual Dining
h3 Parque das Nações,Parque das Nações,4.0,225,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Le Petit Prince,Príncipe Real,4.0,39,8 € for two people (approx.),8,Cash only,type1,Café
Creperie,Arroios,-,0,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Restaurante O Lavrador,Sintra Centro,3.9,66,36 € for two people (approx.),36,Cash and Debit Cards accepted,type1,Casual Dining
Pastelaria Batalha,Venda do Pinheiro,3.8,25,8 € for two people (approx.),8,Cash and Cards accepted,type1,Pastry Shop
Luxembourg,Ericeira,4.0,78,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
O Girassol,Cacém,3.7,20,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
AMAR Associação dos Moradores da Aroeira,Charneca de Caparica,-,0,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Café Jamor,Queluz,3.1,4,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Arte Café,Entrecampos,3.1,0,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Dinastia Selvagem,Belém,-,3,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
O Barbeiro,Alcântara,3.1,8,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Crisfia 2,Campolide,3.0,10,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Café O Amândio,Camarate,-,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Rés do Chão,Santa Apolónia,3.8,62,25 € for two people (approx.),25,Debit Cards accepted,type1,Casual Dining
The Garage - Smokehouse & BBQ,Alcântara,4.1,62,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Báltico,Queluz,2.9,6,6 € for two people (approx.),6,"Cash, Debit Cards and Meal Coupons accepted",type1,Snack Bar
A Travessa do Rio,Benfica,4.0,98,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Meste Zé,Guincho,4.0,101,70 € for two people (approx.),70,Cash and Cards accepted,type1,Casual Dining
Pastelaria Luciana,Saldanha,3.1,0,12 € for two people (approx.),12,Cash only,type1,Snack Bar
Jardim Sol - Pronto a Comer,Cacém,3.4,6,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Pérola de Alfragide,Buraca,3.4,4,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Aníbal,Alfragide,3.5,12,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
A Grelha,Linda-a-Velha,3.8,45,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Skipper,Odivelas Centro,3.2,7,20 € for two people (approx.),20,Cash only,type1,Snack Bar
Noobai,Bica,4.2,"1,086",34 € for two people (approx.),34,Cash and Cards accepted,type1,Casual Dining
Clube Parque dos Príncipes,Telheiras,2.9,7,8 € for two people (approx.),8,Cash only,type1,Snack Bar
São Miguel - Grandes Cantorias,Alfama,3.1,5,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Carminho’s Take-Away,Azeitão,-,1,15 € for two people (approx.),15,Cash only,type1,
Ponto de Encontro,Estoril,2.9,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Danúbio Azul,Mina,-,1,8 € for two people (approx.),8,Cash and Cards accepted,type1,Snack Bar
Cappuccino Café,Torres Vedras Centro,-,2,10 € for two people (approx.),10,Cash only,type1,Quick Bites
Os Piodenses,Benfica,3.7,19,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Golfn'Table,Barcarena,3.4,7,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Cozinha com Alma: Take-away Social,Cascais Centro,3.8,23,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
A Lota,Sesimbra Centro,3.4,22,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Café Fornalha,Mem Martins,3.1,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
McDonald's,Saldanha,2.8,213,12 € for two people (approx.),12,Cash and Cards accepted,type1,Quick Bites
Patrono,Alfama,2.8,11,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Bikes and Beer,Feijó,3.5,8,10 € for two people (approx.) with alcohol,10,Cash only,type1,Bar
Pintarola,Sesimbra Centro,3.8,29,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
First Café,Olivais,-,0,12 € for two people (approx.),12,Cash and Cards accepted,type1,Snack Bar
O Combatente,Queluz,3.3,3,20 € for two people (approx.),20,Cash only,type1,Snack Bar
Bruta Flor,Mouraria,3.8,33,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Pérola de Ouressa,Mem Martins,3.0,3,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Quinto Império,Apelação,3.4,5,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Burguer Time,Amora,4.0,125,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
Gordinni Steak & Fish House,Cascais Centro,2.9,38,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Popicas Pastelaria,Lumiar,2.8,9,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Coral - A Sushi Concept,Cascais Centro,4.1,77,50 € for two people (approx.),50,Cash and Cards accepted,type1,Fine Dining
Aquarius,Damaia,3.6,17,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Pastry Shop
100 Gramas,Oeiras e São Julião da Barra,3.8,34,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Food Court
Portas Verdes,Carnide,3.9,237,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Real Kebab e Pizza's,Loures Centro,-,1,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Quick Bites
Café Cervejaria,São Brás,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Pão do Bairro,Torres Vedras Centro,-,2,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Café Lilimar,Coina,-,0,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Mercearia Vencedora,Cascais Centro,3.9,284,45 € for two people (approx.),45,Cash and Cards accepted,type1,Casual Dining
Beiral,Reboleira,3.4,8,12 € for two people (approx.),12,Cash and Cards accepted,type1,Casual Dining
O Zé da Mouraria 2,Pena,4.6,611,40 € for two people (approx.),40,Cash only,type1,Casual Dining
O Raposo,Arroios,4.0,91,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Risotto,Rio de Mouro,4.1,131,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Food Court
O Cortiço,Odivelas Centro,3.2,11,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Solar dos Frangos,Estoril,3.8,22,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Caseiro Arneiro,Carcavelos,4.2,343,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Pastelaria Dourado,Campo Grande,3.7,35,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Bar da Cossoul,São Bento,3.4,8,15 € for two people (approx.) with alcohol,15,Cash only,type1,Bar
Cafetaria Super 24,Santa Cruz,-,2,10 € for two people (approx.),10,Cash and Cards accepted,type1,Pastry Shop
Sabores da Savana,Almada Centro,-,0,14 € for two people (approx.),14,Cash and Debit Cards accepted,type1,Casual Dining
O Padeirinho,Apelação,-,0,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Flor da Rinchoa - Hibiscus,Rio de Mouro,-,1,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
B2B - Pastelaria,Alverca do Ribatejo,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Churrasqueira da Bobadela,Bobadela,-,2,15 € for two people (approx.),15,Cash only,type1,
Cova Funda,Cacilhas,3.9,58,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Mensa,Oeiras e São Julião da Barra,4.1,192,40 € for two people (approx.),40,Cash only,type1,Casual Dining
Pastanaga,Santos,3.8,12,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Sociedade Recreativa Musical Almoçageme,Colares,3.0,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
O Miradouro,Famões,-,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Boteco da Fá,Alfama,3.8,38,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Torrãozinho,Porto Salvo,3.3,5,6 € for two people (approx.),6,Cash only,type1,Snack Bar
La Pausa Self Service,Olivais,-,3,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
O Trevo,Chiado,4.0,139,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Restaurante Monteiro-Mor - Museu do Traje,Lumiar,3.7,18,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Buzi,Marvila,3.1,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Chafariz,Olivais,3.6,14,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Mini Bar,São João do Estoril,3.1,1,5 € for two people (approx.) with alcohol,5,Cash only,type1,Bar
Pastelaria Helma,Amora,-,1,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Dom Café - Amadora,Damaia,-,3,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Casa dos Frangos,Sintra Centro,2.7,12,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Caracol do bairro,Lumiar,3.7,13,8 € for two people (approx.),8,Cash and Cards accepted,type1,Snack Bar
Casa Transmontana,Barreiro Centro,3.3,8,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Homeru's,Fernão Ferro,3.4,14,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Formiga Gulosa,Arroios,-,2,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Quick Bites
Delícia de Alcântara,Alcântara,3.5,10,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Pastry Shop
Forno de Telheiras,Telheiras,3.5,12,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Café Paris,Silveira,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Pizza 27,Carcavelos,4.1,133,22 € for two people (approx.),22,Cash and Cards accepted,type1,Casual Dining
Alcobacense,Penha de França,3.0,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Original Coffee,Venteira,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Snack Bar São Lázaro,Pena,3.5,14,8 € for two people (approx.),8,Cash and Cards accepted,type1,Snack Bar
Escudeiro,Venteira,-,3,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Boca do Forno,Torres Vedras Centro,-,3,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Bakery
Paladar Minhoto,Rio de Mouro,-,2,18 € for two people (approx.),18,Cash only,type1,Casual Dining
Cosmopolis Pastelaria,Amora,3.7,31,6 € for two people (approx.),6,Cash and Cards accepted,type1,Pastry Shop
Maraçaí,Alfornelos,3.6,8,12 € for two people (approx.),12,Cash only,type1,Quick Bites
O Sem Nome,Restelo,3.9,72,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Os Latinos,Venda Nova,-,1,15 € for two people (approx.),15,Cash only,type1,Snack Bar
O António,Bobadela,3.9,41,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Café Taberna Do Sousa,Seixal Centro,3.0,5,15 € for two people (approx.),15,Cash only,type1,Pastry Shop
Os Periquitos,Loures Centro,2.6,54,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Rekantos I,Corroios,-,1,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Snack Bar
Esperança,Bairro Alto,4.1,186,40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Bellabica,Algés,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Pastelaria Infante,Carnaxide,-,1,12 € for two people (approx.),12,Cash only,type1,Pastry Shop
Segredos Da Terra,Quinta do Conde,3.6,17,8 € for two people (approx.),8,Cash and Cards accepted,type1,Pastry Shop
Sushi Trendy,Loures Centro,3.8,53,40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Herculano,Avenida da Liberdade,3.7,31,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Kafofo Grill,Torres Vedras Centro,3.5,10,16 € for two people (approx.),16,Cash and Cards accepted,type1,Food Court
Padaria da Esquina - Algueirão,Mem Martins,3.5,10,7 € for two people (approx.),7,Cash and Cards accepted,type1,Pastry Shop
Sidi Baba,Pena,-,0,8 € for two people (approx.) with alcohol,8,Cash and Debit Cards accepted,type1,Bar
Wine & Pisco,Rossio,3.6,21,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Restaurante Mar do Guincho,Guincho,3.9,34,40 € for two people (approx.),40,Cards only,type1,Casual Dining
Boccalino,Ericeira,4.0,57,28 € for two people (approx.),28,Cash only,type1,Casual Dining
Sabores d'Outono,Lumiar,3.7,30,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Pastelaria Tórrita,Mem Martins,3.6,15,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Sete Castelos,Oeiras e São Julião da Barra,3.8,85,35 € for two people (approx.),35,Cards only,type1,Casual Dining
Croissanteria a Paragem,Sacavém,-,0,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
O Alcochetano,Alcochete Centro,4.0,115,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Oriental,São João do Estoril,3.5,4,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Che Boludo Cozinha Argentina,Praça de Espanha,3.1,4,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Oceano - Gelados E Crepes,Colares,3.5,7,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Ice-cream Shop
Pizzaria Horta,Mafra Centro,3.5,119,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Nova Ásia,Alvalade,4.1,134,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Pastelaria Manon,Campo Pequeno,3.2,7,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Snack Bar
Snack Bar Silvério,Marvila,-,3,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Garden Terrace,Turcifal,3.3,5,55 € for two people (approx.),55,Cash and Cards accepted,type1,Casual Dining
Estrela do Zambujal,São Domingos de Rana,3.2,4,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Mafra Pão,Restelo,3.2,24,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Pastry Shop
O Meu Sonho,Sacavém,-,2,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Sabores da Carne,Birre,3.9,43,24 € for two people (approx.),24,Cash only,type1,Casual Dining
Farma&Cia Bar,Almada Centro,3.6,13,10 € for two people (approx.) with alcohol,10,Cash only,type1,Bar
Cheers,Bairro Alto,3.3,16,12 € for two people (approx.) with alcohol,12,Debit Cards accepted,type1,Bar
Farol de Oeiras,Oeiras e São Julião da Barra,3.9,112,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Xiripiti Taberna,Cascais Centro,3.8,66,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Lisbon Wine House,Rossio,-,2,30 € for two people (approx.) with alcohol,30,Cash and Debit Cards accepted,type1,Wine Bar
Café Vitória,Porto Salvo,-,1,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Varanda Vale Formoso,Marvila,4.3,364,40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Pierrot Restaurante,Cacém,3.5,17,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Taberna de Azeitão,Azeitão,3.4,12,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Flagrante Delitro,Campo de Ourique,3.9,74,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
O Pãozinho das Marias II,Ericeira,3.9,85,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Delícias & Desejos,Moscavide,3.8,51,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Swaagat,Baixa,-,2,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Favorita II,Odivelas Centro,3.7,22,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
A Parreirinha de Carnide,Carnide,3.9,103,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Frango à Solta,Camarate,3.3,4,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Snack Bar
Savana,Buraca,3.6,17,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Casual Dining
Café Rouge,Barreiro Centro,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Cervejaria D'El Negro,Reboleira,3.8,17,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
A Casa do Luís,Colares,3.5,7,45 € for two people (approx.),45,Cash and Cards accepted,type1,Casual Dining
Taco Locoo,Marquês de Pombal,3.9,47,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Doce Mel,Odivelas Centro,-,3,10 € for two people (approx.),10,Debit Cards accepted,type1,Snack Bar
Maria.Come,Barreiro Centro,3.7,25,17 € for two people (approx.),17,Cash and Debit Cards accepted,type1,Pastry Shop
Galifrango,Arroios,3.5,8,11 € for two people (approx.),11,Cash only,type1,Casual Dining
A Fama dos Búzios,Lumiar,3.3,4,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Pastelaria Dom Café,Oeiras e São Julião da Barra,-,3,13 € for two people (approx.),13,Cash only,type1,Snack Bar
Red & Black Café,Odivelas Centro,3.3,4,12 € for two people (approx.),12,Cash only,type1,Pastry Shop
Estrela de Queluz,Queluz,3.3,7,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Snack Bar
Churrasqueira As Palmeiras,Linda-a-Velha,3.9,96,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Taberna 31,Corroios,-,1,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Os Molas Partidas,Algés,-,1,10 € for two people (approx.),10,Debit Cards accepted,type1,Snack Bar
Nova Alfama,Alfama,3.2,4,25 € for two people (approx.),25,Cash only,type1,Casual Dining
O Barrete Verde,Alcochete Centro,4.1,123,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Aquidabã,Benfica,3.2,3,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Correio Azul,Baixa,3.6,9,15 € for two people (approx.),15,Debit Cards accepted,type1,Snack Bar
Casa de peixe,Pinhal Novo,3.6,16,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Wave Garden,Carcavelos,3.4,6,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Snack Bar
Cantinho da Margarida,Barreiro Centro,-,1,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Espaço Junqueira,Alcântara,3.4,21,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
