name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Taverna Azenha do Alva,Barreiro Centro,3.5,6,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Refeitório do Senhor Abel,Marvila,4.3,341,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Benard,Chiado,4.0,189,35 € for two people (approx.),35,Cash and Cards accepted,type1,Pastry Shop
Gama Barros,Alvalade,-,0,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
R&R,Loures Centro,3.7,18,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Snack Bar
Kaffe Bar,Montijo Centro,-,0,20 € for two people (approx.) with alcohol,20,Cash only,type1,Bar
Talentos de Princesa,Montijo Centro,3.6,13,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Happy Crown,Entrecampos,3.4,5,20 € for two people (approx.),20,Cash only,type1,Quick Bites
Pão da Vila - Jogo da Bola,Ericeira,4.2,109,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Palácio de Buda,Alvalade,4.2,185,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Zé das Escadinhas,Carnaxide,3.5,17,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Sandwich Bar A Torre,Belém,3.1,3,12 € for two people (approx.),12,Cash only,type1,Quick Bites
Achic,Saldanha,-,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Pastelaria Grilo,Carcavelos,3.8,32,5 € for two people (approx.),5,Cash only,type1,Pastry Shop
Café com Arte II,Barreiro Centro,-,0,12 € for two people (approx.),12,Cash only,type1,Pastry Shop
Porco Preto & Tinto,Ericeira,3.9,48,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Casa dos Amigos,Alfama,-,0,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Solar da Madalena,Baixa,-,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
O Fondue,Palhais,4.4,388,50 € for two people (approx.),50,Cash and Credit Cards accepted,type1,Casual Dining
Donzelas Bar,Parque das Nações,-,2,15 € for two people (approx.) with alcohol,15,Cash and Debit Cards accepted,type1,Bar
O Cantinho do Zeca,São Domingos de Rana,3.2,1,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Pastelaria Tãobela,Amora,3.5,8,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Acaso Galveias,Campo Pequeno,3.7,15,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Kiosk
DownUnder by Justin Jennings,São Bento,4.8,698,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Belo,Odivelas Centro,-,2,15 € for two people (approx.),15,Cash only,type1,Pastry Shop
Ilustre Saloio,Damaia,-,2,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Papó'Pão,Moscavide,3.4,6,5 € for two people (approx.),5,Cash only,type1,Bakery
Tambarina,São Bento,3.9,127,15 € for two people (approx.),15,Cash only,type1,Casual Dining
A Tasca,Cascais Centro,3.5,19,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Santa.Come,Santa Cruz,3.7,46,12 € for two people (approx.),12,Cash and Cards accepted,type1,Quick Bites
Solar do Ribatejo,Campolide,3.1,2,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Tasca do Sekuras,Arroios,4.2,146,10 € for two people (approx.),10,Cash only,type1,Snack Bar
The Food for Real,Alcântara,4.4,134,14 € for two people (approx.),14,Cash only,type1,Café
O Coelho,Ventosa,3.3,14,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Expresso do Oriente,Parque das Nações,3.1,3,6 € for two people (approx.),6,Cash only,type1,Quick Bites
Pinheiro 1979,Famões,4.0,91,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Altoceira,Alvalade,3.6,15,45 € for two people (approx.),45,Cash and Cards accepted,type1,Casual Dining
Faia,Alverca do Ribatejo,3.4,5,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Café Paris,Mem Martins,2.9,8,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Café São Marco,Barreiro Centro,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Monte Novo,Pena,3.6,14,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Bar - Hotel ibis Lisboa Sintra,Abrunheira,-,1,25 € for two people (approx.) with alcohol,25,Cash and Cards accepted,type1,Lounge
Restaurante - NH Lisboa Campo Grande,Campo Grande,-,0,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Dom Pedro V,Linda-a-Velha,3.3,5,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Cem Nome,Benfica,3.2,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Milímetro de Alfama,Alfama,3.0,1,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Cadillac Burger LX,Areeiro,3.6,15,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
